"times","exponential_ma_open","exponential_ma_high","exponential_ma_low","exponential_ma_close","symbol","market"
"2019-10-09 10:15:00",45.2959,45.4194,45.1997,45.2995,"AAON","NASDAQ"
"2019-10-09 10:00:00",45.2967,45.4204,45.2003,45.3007,"AAON","NASDAQ"
"2019-10-09 09:45:00",45.2974,45.4206,45.2,45.2997,"AAON","NASDAQ"
"2019-10-08 16:00:00",45.2982,45.4191,45.2002,45.3009,"AAON","NASDAQ"
"2019-10-08 15:45:00",45.3017,45.4228,45.2038,45.3047,"AAON","NASDAQ"
"2019-10-08 15:30:00",45.3033,45.4239,45.2065,45.308,"AAON","NASDAQ"
"2019-10-08 15:15:00",45.3052,45.4262,45.2075,45.3099,"AAON","NASDAQ"
"2019-10-08 15:00:00",45.3076,45.4293,45.2093,45.3123,"AAON","NASDAQ"
"2019-10-08 14:45:00",45.3089,45.4295,45.2117,45.3158,"AAON","NASDAQ"
"2019-10-08 14:30:00",45.3116,45.4306,45.2134,45.3171,"AAON","NASDAQ"
"2019-10-08 14:15:00",45.313,45.4332,45.2159,45.3206,"AAON","NASDAQ"
"2019-10-08 14:00:00",45.3172,45.4354,45.2192,45.322,"AAON","NASDAQ"
"2019-10-08 13:45:00",45.3209,45.4397,45.2227,45.3263,"AAON","NASDAQ"
"2019-10-08 13:30:00",45.3236,45.4431,45.2252,45.3296,"AAON","NASDAQ"
"2019-10-08 13:15:00",45.3286,45.448,45.2292,45.3334,"AAON","NASDAQ"
"2019-10-08 13:00:00",45.3343,45.4538,45.234,45.3384,"AAON","NASDAQ"
"2019-10-08 12:45:00",45.3386,45.4593,45.2393,45.3448,"AAON","NASDAQ"
"2019-10-08 12:30:00",45.3447,45.4662,45.245,45.3511,"AAON","NASDAQ"
"2019-10-08 12:15:00",45.3534,45.4739,45.2528,45.3577,"AAON","NASDAQ"
"2019-10-08 12:00:00",45.3604,45.4819,45.2601,45.366,"AAON","NASDAQ"
"2019-10-08 11:45:00",45.3693,45.4886,45.268,45.3716,"AAON","NASDAQ"
"2019-10-08 11:30:00",45.378,45.4976,45.2762,45.3804,"AAON","NASDAQ"
"2019-10-08 11:15:00",45.3844,45.5047,45.2833,45.3885,"AAON","NASDAQ"
"2019-10-08 11:00:00",45.392,45.513,45.2899,45.3956,"AAON","NASDAQ"
"2019-10-08 10:45:00",45.4002,45.5199,45.297,45.402,"AAON","NASDAQ"
"2019-10-08 10:30:00",45.4079,45.5283,45.3055,45.4104,"AAON","NASDAQ"
"2019-10-08 10:15:00",45.4171,45.5382,45.3142,45.4194,"AAON","NASDAQ"
"2019-10-08 10:00:00",45.4302,45.5486,45.3264,45.4287,"AAON","NASDAQ"
